ID,Type,Name,Train,Test,Class,Length,ED (w=0),DTW (learned_w) ,DTW (w=100),Default rate,Data donor/editor
59,Device,RefrigerationDevices,375,375,3,720,0.6053,0.5600 (8),0.536,0.6667,J. Lines & A. Bagnall
60,Device,ScreenType,375,375,3,720,0.64,0.5893 (17),0.6027,0.6667,J. Lines & A. Bagnall
61,Simulated,ShapeletSim,20,180,2,500,0.4611,0.3000 (3),0.35,0.5,J. Hills & A. Bagnall
62,Image,ShapesAll,600,600,60,512,0.2483,0.1980 (4),0.2317,0.9833,J. Hills & A. Bagnall
63,Device,SmallKitchenAppliances,375,375,3,720,0.6587,0.3280 (15),0.3573,0.6667,J. Lines & A. Bagnall
64,Sensor,SonyAIBORobotSurface1,20,601,2,70,0.3045,0.3045 (0),0.2745,0.4293,"D. Vail, M. Velso & E. Keogh"
65,Sensor,SonyAIBORobotSurface2,27,953,2,65,0.1406,0.1406 (0),0.1689,0.383,"D. Vail, M. Velso & E. Keogh"
67,Spectro,Strawberry,613,370,2,235,0.0541,0.0541 (0),0.0595,0.3568,K. Kemsley & A. Bagnall
68,Image,SwedishLeaf,500,625,15,128,0.2112,0.1536 (2),0.208,0.9216,O. Soderkvist
69,Image,Symbols,25,995,6,398,0.1005,0.0623 (8),0.0503,0.8211,E. Keogh & J. Brady
70,Simulated,SyntheticControl,300,300,6,60,0.12,0.0167 (6),0.0067,0.8333,R. Alcock & Y. Manolopoulos
71,Motion,ToeSegmentation1,40,228,2,277,0.3202,0.2500 (8),0.2281,0.4737,"A. Bagnall, L. Ye & E. Keogh"
72,Motion,ToeSegmentation2,36,130,2,343,0.1923,0.0923 (5),0.1615,0.1846,"A. Bagnall, L. Ye & E. Keogh"
73,Sensor,Trace,100,100,4,275,0.24,0.0100 (3),0.0,0.71,D. Roverso
81,Spectro,Wine,57,54,2,234,0.3889,0.3889 (0),0.4259,0.5,K. Kemsley & A. Bagnall
82,Image,WordSynonyms,267,638,25,270,0.3824,0.2618 (9),0.3511,0.7806,T. Rath & R. Manmatha
83,Motion,Worms,181,77,5,900,0.5455,0.4675 (9),0.4156,0.5714,A. Bagnall
84,Motion,WormsTwoClass,181,77,2,900,0.3896,0.4156 (7),0.3766,0.4286,A. Bagnall
90,Simulated,BME,30,150,3,128,0.1667,0.0200 (4),0.1,0.6667,Joseph Fourier University
91,Traffic,Chinatown,20,343,2,24,0.0466,0.0466 (0),0.0437,0.2741,H.A. Dau
101,HRM,Fungi,18,186,18,201,0.1774,0.1774 (0),0.1613,0.8978,W. Fonzi
107,Motion,GunPointAgeSpan,135,316,2,150,0.1013,0.0348 (3),0.0823,0.4937,A. Ratanamahatana & E. Keogh
108,Motion,GunPointMaleVersusFemale,135,316,2,150,0.0253,0.0253 (0),0.0032,0.4747,A. Ratanamahatana & E. Keogh
109,Motion,GunPointOldVersusYoung,136,315,2,150,0.0476,0.0349 (4),0.1619,0.4762,A. Ratanamahatana & E. Keogh
111,EPG,InsectEPGRegularTrain,62,249,3,601,0.3213,0.1727 (11),0.1285,0.5261,E. Keogh & S. Gharghabi
112,EPG,InsectEPGSmallTrain,17,249,3,601,0.3373,0.3052 (1),0.2651,0.5261,E. Keogh & S. Gharghabi
121,Power,PowerCons,180,180,2,144,0.0667,0.0778 (3),0.1222,0.5,"EDF R&D, France"
127,Simulated,SmoothSubspace,150,150,3,15,0.0933,0.0533 (1),0.1733,0.6667,X. Huang
128,Simulated,UMD,36,144,3,150,0.2361,0.0278 (6),0.0069,0.6667,Joseph Fourier University
